id;event_id;event_name;transaction_date;parameters;status;error_code;error_info;error_code_retriable;flow_id_id
1;addd5b25-b063-4fb2-a81f-10cddac9f143;Borders Strategist Japan;2020-05-17T07:27:54;Ergonomic;benchmark;Executive Shirt;withdrawal Metal;Handcrafted Frozen Computer New York aggregate;1
2;276771de-a1a5-4138-9081-99dbe3082e21;Estonia;2020-05-18T00:37:00;Vatu primary Bedfordshire;salmon SCSI;SSL Fantastic Frozen Shirt;Strategist Administrator Metal;EXE invoice;2
3;bac5adc7-6d54-48aa-8405-373a6cf8e9fc;Refined Rubber Soap Netherlands;2020-05-17T18:18:44;California International payment;pricing structure Books;back-end Bedfordshire Operations;quantify mobile Awesome;virtual Licensed Steel Salad sexy;3
4;3b5feac5-653b-40c8-a0fa-b70556e4cac8;Shoes plum schemas;2020-05-18T00:59:17;override core Operative;hack;Estates;Idaho;input Health;4
5;9d9bb270-c68e-4683-8f33-6295c7576464;Legacy RAM;2020-05-17T15:19:45;Cotton;primary Intelligent Wooden Soap;interface Keyboard world-class;Singapore Philippine Peso Marketing;Senior innovate;5
6;66ffea24-d079-4644-824c-3855ab54e79b;Home Loan Account Won Tuvalu;2020-05-17T10:55:54;Tools;disintermediate indexing robust;Mongolia synthesizing;Dam Home;Sports Generic Soft Chair;6
7;5950fb09-5361-48bb-847c-2cb2663bfd0b;Greens XML;2020-05-17T19:15:31;adapter Coordinator;Unbranded Steel Sausages USB;Toys Florida Global;disintermediate backing up Hryvnia;program Ergonomic Investor;7
8;ed7e486f-19f0-443f-b2b4-ce41fdf93fd2;Group;2020-05-17T09:52:39;Gloves bypassing Connecticut;Latvian Lats deposit bleeding-edge;strategize;Kwacha reinvent;expedite task-force;8
9;408597b7-f564-4346-9d0d-91d2cbe1fa8e;convergence static Florida;2020-05-17T22:16:34;override;Rustic Metal Pants Alaska generate;mesh Refined;Coordinator bypassing;Chief;9
10;e1188784-e963-4ccf-8bbe-aff6f4f07479;digital Incredible Steel Computer;2020-05-17T22:58:09;Toys Illinois;input Granite Towels;Mountains utilisation;copy vertical Mobility;Borders Research monitor;10
